* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = TAQMAN
* Date Created = 2022-11-14 13:15:53 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\Standard Curve_01.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2022-10-25 18:23:54 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	HIGHSD	SPIKE	NOAMP	BADROX	PRFLOW	PRFDROP	NOISE	EXPFAIL
65	F5	false	50	Sym	UNKNOWN	SYBR	None	23.484	25.760	3.219								true	0.281	true	3	18	Amp		Y	N	N	N	N	N	N	N
66	F6	false	50	Sym	UNKNOWN	SYBR	None	28.037	25.760	3.219								true	0.281	true	3	23	No Amp		Y	N	N	N	Y	N	N	N
67	F7	false	40	Cam	UNKNOWN	SYBR	None	25.458	25.413	0.064								true	0.203	true	3	20	Amp		N	N	N	N	N	N	N	N
68	F8	false	40	Cam	UNKNOWN	SYBR	None	25.367	25.413	0.064								true	0.203	true	3	19	Amp		N	N	N	N	N	N	N	N
69	F9	false	40	Pax	UNKNOWN	SYBR	None	25.148	24.995	0.217								true	0.315	true	3	20	Amp		N	N	N	N	N	N	N	N
70	F10	false	40	Pax	UNKNOWN	SYBR	None	24.841	24.995	0.217								true	0.315	true	3	18	Amp		N	N	N	N	N	N	N	N
71	F11	false	40	Sym	UNKNOWN	SYBR	None	24.468	24.227	0.341								true	0.281	true	3	18	Amp		N	N	N	N	N	N	N	N
72	F12	false	40	Sym	UNKNOWN	SYBR	None	23.986	24.227	0.341								true	0.281	true	3	17	Amp		N	N	N	N	N	N	N	N
73	G1	false	279	Cam	UNKNOWN	SYBR	None	Undetermined										true	0.203	true	3	39	No Amp		N	N	N	N	N	N	N	Y
74	G2	false	279	Cam	UNKNOWN	SYBR	None	Undetermined										true	0.203	true	3	39	No Amp		N	N	Y	N	N	N	N	Y
75	G3	false	279	Pax	UNKNOWN	SYBR	None	36.261	36.261									true	0.315	true	3	30	Amp		N	N	N	N	N	N	N	N
76	G4	false	279	Pax	UNKNOWN	SYBR	None	Undetermined	36.261									true	0.315	true	3	39	No Amp		N	N	Y	N	N	N	N	Y
77	G5	false	279	Sym	UNKNOWN	SYBR	None	Undetermined	31.790									true	0.281	true	3	39	No Amp		N	N	N	N	N	N	N	Y
78	G6	false	279	Sym	UNKNOWN	SYBR	None	31.790	31.790									true	0.281	true	3	27	No Amp		N	N	N	N	Y	Y	N	N
79	G7	false	negative	Cam	UNKNOWN	SYBR	None	23.901	23.901									true	0.203	true	3	22	No Amp		N	N	N	N	Y	Y	N	N
80	G8	false	negative	Cam	UNKNOWN	SYBR	None	Undetermined	23.901									true	0.203	true	3	39	No Amp		N	N	Y	N	N	N	N	Y
81	G9	false	negative	Pax	UNKNOWN	SYBR	None	Undetermined										true	0.315	true	3	39	No Amp		N	N	N	N	N	N	N	Y
82	G10	false	negative	Pax	UNKNOWN	SYBR	None	Undetermined										true	0.315	true	3	39	No Amp		N	N	Y	N	N	N	N	Y
83	G11	false	negative	Sym	UNKNOWN	SYBR	None	Undetermined										true	0.281	true	3	14	No Amp		N	N	Y	N	N	N	N	N
84	G12	false	negative	Sym	UNKNOWN	SYBR	None	Undetermined										true	0.281	true	3	16	No Amp		N	N	Y	N	N	N	N	N
85	H1	false	371	Cam	UNKNOWN	SYBR	None	22.225	22.376	0.213								true	0.203	true	3	17	Amp		N	N	N	N	N	N	N	N
86	H2	false	371	Cam	UNKNOWN	SYBR	None	22.526	22.376	0.213								true	0.203	true	3	18	Amp		N	N	N	N	N	N	N	N
87	H3	false	371	Pax	UNKNOWN	SYBR	None	22.217	22.355	0.195								true	0.315	true	3	17	Amp		N	N	N	N	N	N	N	N
88	H4	false	371	Pax	UNKNOWN	SYBR	None	22.493	22.355	0.195								true	0.315	true	3	16	Amp		N	N	N	N	N	N	N	N
89	H5	false	371	Sym	UNKNOWN	SYBR	None	22.119	22.901	1.106								true	0.281	true	3	16	Amp		Y	N	N	N	N	N	N	N
90	H6	false	371	Sym	UNKNOWN	SYBR	None	23.683	22.901	1.106								true	0.281	true	3	18	Amp		Y	N	N	N	N	N	N	N
91	H7	false	positive	Cam	UNKNOWN	SYBR	None	36.615	36.521	0.133								true	0.203	true	3	30	Amp		N	N	N	N	N	N	N	N
92	H8	false	positive	Cam	UNKNOWN	SYBR	None	36.427	36.521	0.133								true	0.203	true	3	31	Amp		N	N	N	N	N	N	N	N
93	H9	false	positive	Pax	UNKNOWN	SYBR	None	34.384	34.384									true	0.315	true	3	29	Amp		N	N	N	N	N	N	N	N
94	H10	false	positive	Pax	UNKNOWN	SYBR	None	Undetermined	34.384									true	0.315	true	3	39	No Amp		N	N	N	N	N	N	N	Y
95	H11	false	positive	Sym	UNKNOWN	SYBR	None	Undetermined										true	0.281	true	3	39	No Amp		N	N	Y	N	N	N	N	Y
96	H12	false	positive	Sym	UNKNOWN	SYBR	None	Undetermined										true	0.281	true	3	7	No Amp		N	N	N	N	N	N	N	N
